Time,Flow,Apenea,Stage
0.0,-0.06985580224307622,0,Wake|0
0.03125,-0.08926527809567407,0,Wake|0
0.0625,-0.09018081940947585,0,Wake|0
0.09375,-0.0916456855115587,0,Wake|0
0.125,-0.093842984664683,0,Wake|0
0.15625,-0.09677271686884871,0,Wake|0
0.1875,-0.09823758297093156,0,Wake|0
0.21875,-0.09768825818265049,0,Wake|0
0.25,-0.09585717555504693,0,Wake|0
0.28125,-0.08981460288395514,0,Wake|0
0.3125,-0.0823071641107805,0,Wake|0
0.34375,-0.07479972533760586,0,Wake|0
0.375,-0.06546120393682765,0,Wake|0
0.40625,-0.05685511558709087,0,Wake|0
0.4375,-0.05575646601052873,0,Wake|0
0.46875,-0.05813687342641337,0,Wake|0
0.5,-0.05795376516365301,0,Wake|0
0.53125,-0.0563057907988098,0,Wake|0
0.5625,-0.05813687342641337,0,Wake|0
0.59375,-0.06033417257953765,0,Wake|0
0.625,-0.060700389105058365,0,Wake|0
0.65625,-0.06253147173266194,0,Wake|0
0.6875,-0.06857404440375373,0,Wake|0
0.71875,-0.07168688487067978,0,Wake|0
0.75,-0.07003891050583658,0,Wake|0
0.78125,-0.0720531013962005,0,Wake|0
0.8125,-0.07608148317692835,0,Wake|0
0.84375,-0.07644769970244908,0,Wake|0
0.875,-0.07791256580453193,0,Wake|0
0.90625,-0.08010986495765622,0,Wake|0
0.9375,-0.07516594186312657,0,Wake|0
0.96875,-0.06857404440375373,0,Wake|0
1.0,-0.06985580224307622,0,Wake|0
1.03125,-0.05227740901808194,0,Wake|0
1.0625,-0.04055848020141909,0,Wake|0
1.09375,-0.03817807278553445,0,Wake|0
1.125,-0.03909361409933623,0,Wake|0
1.15625,-0.039459830624856945,0,Wake|0
1.1875,-0.040924696726939803,0,Wake|0
1.21875,-0.040924696726939803,0,Wake|0
1.25,-0.0396429388876173,0,Wake|0
1.28125,-0.041290913252460516,0,Wake|0
1.3125,-0.04165712977798123,0,Wake|0
1.34375,-0.0396429388876173,0,Wake|0
1.375,-0.03817807278553445,0,Wake|0
1.40625,-0.03689631494621195,0,Wake|0
1.4375,-0.03689631494621195,0,Wake|0
1.46875,-0.03744563973449302,0,Wake|0
1.5,-0.03598077363241016,0,Wake|0
1.53125,-0.035248340581368734,0,Wake|0
1.5625,-0.03726253147173266,0,Wake|0
1.59375,-0.03561455710688945,0,Wake|0
1.625,-0.03305104142824445,0,Wake|0
1.65625,-0.035248340581368734,0,Wake|0
1.6875,-0.03414969100480659,0,Wake|0
1.71875,-0.030853742275120166,0,Wake|0
1.75,-0.033783474479285876,0,Wake|0
1.78125,-0.02426184481574731,0,Wake|0
1.8125,-0.003936827649347677,0,Wake|0
1.84375,-0.02243076218814374,0,Wake|0
1.875,-0.07388418402380408,0,Wake|0
1.90625,-0.08139162279697872,0,Wake|0
1.9375,-0.05099565117875944,0,Wake|0
1.96875,-0.061249713893339434,0,Wake|0
2.0,-0.06985580224307622,0,Wake|0
2.03125,-0.09237811856260014,0,Wake|0
2.0625,-0.0797436484321355,0,Wake|0
2.09375,-0.09585717555504693,0,Wake|0
2.125,-0.09897001602197299,0,Wake|0
2.15625,-0.05978484779125658,0,Wake|0
2.1875,-0.021881437399862667,0,Wake|0
2.21875,-0.024078736552986955,0,Wake|0
2.25,-0.036530098420691236,0,Wake|0
2.28125,-0.026825360494392308,0,Wake|0
2.3125,-0.024078736552986955,0,Wake|0
2.34375,-0.03689631494621195,0,Wake|0
2.375,-0.021881437399862667,0,Wake|0
2.40625,-0.009063859006637675,0,Wake|0
2.4375,-0.07864499885557336,0,Wake|0
2.46875,-0.18173495078965438,0,Wake|0
2.5,-0.21927214465552758,0,Wake|0
2.53125,-0.20956740672922866,0,Wake|0
2.5625,-0.19418631265735867,0,Wake|0
2.59375,-0.1544518196383612,0,Wake|0
2.625,-0.10391393911650264,0,Wake|0
2.65625,-0.07882810711833371,0,Wake|0
2.6875,-0.07315175097276265,0,Wake|0
2.71875,-0.0823071641107805,0,Wake|0
2.75,-0.09274433508812086,0,Wake|0
2.78125,-0.06765850308995193,0,Wake|0
2.8125,-0.03561455710688945,0,Wake|0
2.84375,-0.03634699015793088,0,Wake|0
2.875,-0.02371252002746624,0,Wake|0
2.90625,0.002105745021744106,0,Wake|0
2.9375,0.017120622568093387,0,Wake|0
2.96875,0.19272144655527582,0,Wake|0
3.0,-0.06985580224307622,0,Wake|0
3.03125,1.0569924467841612,0,Wake|0
3.0625,1.180041199359121,0,Wake|0
3.09375,1.1588006408789198,0,Wake|0
3.125,1.1721675440604258,0,Wake|0
3.15625,1.1575188830395973,0,Wake|0
3.1875,1.0685282673380636,0,Wake|0
3.21875,0.9372396429388876,0,Wake|0
3.25,0.7642023346303501,0,Wake|0
3.28125,0.574868390936141,0,Wake|0
3.3125,0.40164797436484323,0,Wake|0
3.34375,0.21927214465552758,0,Wake|0
3.375,0.03854428931105516,0,Wake|0
3.40625,-0.07754634927901122,0,Wake|0
3.4375,-0.11874570840009155,0,Wake|0
3.46875,-0.1227740901808194,0,Wake|0
3.5,-0.12021057450217441,0,Wake|0
3.53125,-0.1262531471732662,0,Wake|0
3.5625,-0.1339436942092012,0,Wake|0
3.59375,-0.13650720988784618,0,Wake|0
3.625,-0.14401464866102082,0,Wake|0
3.65625,-0.1531700617990387,0,Wake|0
3.6875,-0.1531700617990387,0,Wake|0
3.71875,-0.15536736095216297,0,Wake|0
3.75,-0.16195925841153583,0,Wake|0
3.78125,-0.15811398489356832,0,Wake|0
3.8125,-0.15280384527351798,0,Wake|0
3.84375,-0.1531700617990387,0,Wake|0
3.875,-0.15060654612039368,0,Wake|0
3.90625,-0.1734950789654383,0,Wake|0
3.9375,-0.23062485694666973,0,Wake|0
3.96875,-0.24747081712062258,0,Wake|0
4.0,-0.06985580224307622,0,Wake|0
4.03125,-0.1346761272602426,0,Wake|0
4.0625,-0.11764705882352941,0,Wake|0
4.09375,-0.10739299610894941,0,Wake|0
4.125,-0.09494163424124513,0,Wake|0
4.15625,-0.09146257724879835,0,Wake|0
4.1875,-0.09073014419775692,0,Wake|0
4.21875,-0.09054703593499656,0,Wake|0
4.25,-0.08944838635843443,0,Wake|0
4.28125,-0.08926527809567407,0,Wake|0
4.3125,-0.09329365987640192,0,Wake|0
4.34375,-0.096406500343328,0,Wake|0
4.375,-0.09604028381780728,0,Wake|0
4.40625,-0.1002517738612955,0,Wake|0
4.4375,-0.1002517738612955,0,Wake|0
4.46875,-0.09237811856260014,0,Wake|0
4.5,-0.09073014419775692,0,Wake|0
4.53125,-0.09512474250400549,0,Wake|0
4.5625,-0.10263218127718013,0,Wake|0
4.59375,-0.12716868848706797,0,Wake|0
4.625,-0.14914168001831082,0,Wake|0
4.65625,-0.13650720988784618,0,Wake|0
4.6875,-0.11123826962691691,0,Wake|0
4.71875,-0.0980544747081712,0,Wake|0
4.75,-0.0848706797894255,0,Wake|0
4.78125,-0.0729686427100023,0,Wake|0
4.8125,-0.07223620965896085,0,Wake|0
4.84375,-0.06729228656443122,0,Wake|0
4.875,-0.055024032959487296,0,Wake|0
4.90625,-0.05355916685740444,0,Wake|0
4.9375,-0.0563057907988098,0,Wake|0
4.96875,-0.05575646601052873,0,Wake|0
5.0,-0.06985580224307622,0,Wake|0
5.03125,-0.09274433508812086,0,Wake|0
5.0625,-0.0980544747081712,0,Wake|0
5.09375,-0.08761730373083085,0,Wake|0
5.125,-0.07571526665140764,0,Wake|0
5.15625,-0.058869306477454794,0,Wake|0
5.1875,-0.04257267109178302,0,Wake|0
5.21875,-0.041840238040741586,0,Wake|0
5.25,-0.05008010986495766,0,Wake|0
5.28125,-0.05355916685740444,0,Wake|0
5.3125,-0.05154497596704051,0,Wake|0
5.34375,-0.051361867704280154,0,Wake|0
5.375,-0.06198214694438087,0,Wake|0
5.40625,-0.07956054016937514,0,Wake|0
5.4375,-0.08194094758525979,0,Wake|0
5.46875,-0.0691233691920348,0,Wake|0
5.5,-0.061249713893339434,0,Wake|0
5.53125,-0.05941863126573586,0,Wake|0
5.5625,-0.0537422751201648,0,Wake|0
5.59375,-0.05154497596704051,0,Wake|0
5.625,-0.054474708171206226,0,Wake|0
5.65625,-0.051361867704280154,0,Wake|0
5.6875,-0.0434882124055848,0,Wake|0
5.71875,-0.03909361409933623,0,Wake|0
5.75,-0.03744563973449302,0,Wake|0
5.78125,-0.03872739757381552,0,Wake|0
5.8125,-0.04495307850766766,0,Wake|0
5.84375,-0.05539024948500801,0,Wake|0
5.875,-0.06417944609750514,0,Wake|0
5.90625,-0.060700389105058365,0,Wake|0
5.9375,-0.048432135500114444,0,Wake|0
5.96875,-0.041840238040741586,0,Wake|0
6.0,-0.040375371938658734,0,Wake|0
6.03125,-0.03561455710688945,0,Wake|0
6.0625,-0.03433279926756695,0,Wake|0
6.09375,-0.03817807278553445,0,Wake|0
6.125,-0.03598077363241016,0,Wake|0
6.15625,-0.03121995880064088,0,Wake|0
6.1875,-0.031952391851682305,0,Wake|0
6.21875,-0.032867933165484094,0,Wake|0
6.25,-0.031952391851682305,0,Wake|0
6.28125,-0.032867933165484094,0,Wake|0
6.3125,-0.03213550011444266,0,Wake|0
6.34375,-0.02993820096131838,0,Wake|0
6.375,-0.032867933165484094,0,Wake|0
6.40625,-0.034699015793087665,0,Wake|0
6.4375,-0.030853742275120166,0,Wake|0
